BIB,Ridername        ,Team,Picked_by,Sub
144, BISSEGGER Stefan,EF Education-EasyPost,Not selected,NO
152, BARGUIL Warren,Team Arkéa Samsic,Not selected,NO
155, HOFSTETTER Hugo,Team Arkéa Samsic,Not selected,NO
185, LATOUR Pierre,TotalEnergies,Not selected,NO
115, HAMILTON Chris,Team DSM,Not selected,NO
125, PASQUALON Andrea,Intermarché - Wanty - Gobert Matériaux,Not selected,NO
92, DUCHESNE Antoine,Groupama - FDJ,Not selected,NO
62, ERVITI Imanol,Movistar Team,Not selected,NO
118, VERMAERKE Kevin,Team DSM,Not selected,NO
83, GRADEK Kamil,Bahrain - Victorious,Not selected,NO
141, URÁN Rigoberto,EF Education-EasyPost,Bergs,NO
206, JUUL-JENSEN Christopher,Team BikeExchange - Jayco,Not selected,NO
128, ZIMMERMANN Georg,Intermarché - Wanty - Gobert Matériaux,Not selected,NO
191, FROOME Chris,Israel - Premier Tech,Not selected,NO
122, BYSTRØM Sven Erik,Intermarché - Wanty - Gobert Matériaux,Not selected,NO
97, PINOT Thibaut,Groupama - FDJ,Zing,NO
34, COSNEFROY Benoît,AG2R Citroën Team,Not selected,NO
32, BOUCHARD Geoffrey,AG2R Citroën Team,Not selected,NO
156, LOUVEL Matis,Team Arkéa Samsic,Not selected,NO
163, GILBERT Philippe,Lotto Soudal,Not selected,NO
132, RIABUSHENKO Alexandr,Astana Qazaqstan Team,Not selected,NO
48, VAN POPPEL Danny,BORA - hansgrohe,Not selected,NO
46, POLITT Nils,BORA - hansgrohe,Not selected,NO
173, GALLOPIN Tony,Trek - Segafredo,Not selected,NO
186, OSS Daniel,TotalEnergies,Not selected,NO
13, KRUIJSWIJK Steven,Jumbo-Visma,Not selected,NO
166, VAN MOER Brent,Lotto Soudal,Not selected,NO
96, MADOUAS Valentin,Groupama - FDJ,Not selected,NO
105, PHILIPSEN Jasper,Alpecin-Deceuninck,Stiff,NO
193, CLARKE Simon,Israel - Premier Tech,Not selected,NO
192, BOIVIN Guillaume,Israel - Premier Tech,Not selected,NO
35, DEWULF Stan,AG2R Citroën Team,Not selected,NO
208, SCHULTZ Nick,Team BikeExchange - Jayco,Not selected,NO
7, SOLER Marc,UAE Team Emirates,Not selected,NO
95, LE GAC Olivier,Groupama - FDJ,Not selected,NO
198, WOODS Michael,Israel - Premier Tech,Stiff,NO
164, JANSE VAN RENSBURG Reinardt,Lotto Soudal,Not selected,NO
165, KRON Andreas,Lotto Soudal,Not selected,NO
218, SCHÖNBERGER Sebastian,B&B Hotels - KTM,Not selected,NO
135, GRUZDEV Dmitriy,Astana Qazaqstan Team,Not selected,NO
51, JAKOBSEN Fabio,Quick-Step Alpha Vinyl Team,Bergs,NO
181, SAGAN Peter,TotalEnergies,Haz,NO
37, NAESEN Oliver,AG2R Citroën Team,Not selected,NO
108, VAN KEIRSBULCK Guillaume,Alpecin-Deceuninck,Not selected,NO
207, MEZGEC Luka,Team BikeExchange - Jayco,Not selected,NO
27, VAN BAARLE Dylan,INEOS Grenadiers,Not selected,NO
215, LEMOINE Cyril,B&B Hotels - KTM,Not selected,NO
98, STORER Michael,Groupama - FDJ,Not selected,NO
142, GUERREIRO Ruben,EF Education-EasyPost,Zing,NO
212, BARTHE Cyril,B&B Hotels - KTM,Not selected,NO
8, HIRSCHI Marc,UAE Team Emirates,Stiff,Sub
133, DOMBROWSKI Joe,Astana Qazaqstan Team,Not selected,NO
76, PEREZ Anthony,Cofidis,Not selected,NO
188, VUILLERMOZ Alexis,TotalEnergies,Not selected,NO
5, MAJKA Rafał,UAE Team Emirates,Not selected,NO
68, VERONA Carlos,Movistar Team,Not selected,NO
138, ZEITS Andrey,Astana Qazaqstan Team,Not selected,NO
2, BENNETT George,UAE Team Emirates,Not selected,NO
157, OWSIAN Łukasz,Team Arkéa Samsic,Not selected,NO
67, TORRES Albert,Movistar Team,Not selected,NO
4, LAENGEN Vegard Stake,UAE Team Emirates,Not selected,NO
104, KRIEGER Alexander,Alpecin-Deceuninck,Not selected,NO
183, BODNAR Maciej,TotalEnergies,Not selected,NO
161, EWAN Caleb,Lotto Soudal,Falcs,NO
106, PLANCKAERT Edward,Alpecin-Deceuninck,Not selected,NO
75, LAFAY Victor,Cofidis,Not selected,NO
102, DILLIER Silvan,Alpecin-Deceuninck,Not selected,NO
33, CHEREL Mikaël,AG2R Citroën Team,Not selected,NO
126, PETIT Adrien,Intermarché - Wanty - Gobert Matériaux,Not selected,NO
107, SBARAGLI Kristian,Alpecin-Deceuninck,Not selected,NO
26, ROWE Luke,INEOS Grenadiers,Not selected,NO
204, GROENEWEGEN Dylan,Team BikeExchange - Jayco,Willo,NO
184, BURGAUDEAU Mathieu,TotalEnergies,Not selected,NO
174, KIRSCH Alex,Trek - Segafredo,Not selected,NO
195, NIV Guy,Israel - Premier Tech,Not selected,NO
217, ROLLAND Pierre,B&B Hotels - KTM,Not selected,NO
216, MOZZATO Luca,B&B Hotels - KTM,Not selected,NO
162, FRISON Frederik,Lotto Soudal,Not selected,NO
